transaction_id,account_id,customer_code,transaction_date,transaction_type,transaction_desc,amount,balance,channel_txn,status_txn,TRAN_AMT_ACY,TRAN_AMT_LCY,currency
TXN00000001,1,CIF000001,2024-02-13,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 89,678,130 VND",89678130.08,89678130.08,atm,Posted,89678130.08,89678130.08,VND
TXN00000002,1,CIF000001,2024-02-18,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 61,820,030 VND",61820029.71,151498159.8,branch,Posted,61820029.71,61820029.71,VND
TXN00000003,1,CIF000001,2024-02-18,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 136,602,822 VND",136602821.79,288100981.58,mobile/internet,Posted,136602821.79,136602821.79,VND
TXN00000004,1,CIF000001,2024-02-19,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 197,783,228 USD",197783228.1,485884209.68,mobile/internet,Posted,197783228.1,4944580702.48,USD
TXN00000005,1,CIF000001,2024-02-20,Deposit,"Nộp tiền mặt tại quầy 145,352,667 VND",145352666.64,631236876.32,atm,Posted,145352666.64,145352666.64,VND
TXN00000006,1,CIF000001,2024-03-05,Deposit,"Nộp tiền mặt tại quầy 90,046,673 USD",90046673.31,721283549.63,branch,Pending,90046673.31,2251166832.68,USD
TXN00000007,1,CIF000001,2024-03-06,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 75,670,797 VND",75670797.23,796954346.86,mobile/internet,Posted,75670797.23,75670797.23,VND
TXN00000008,1,CIF000001,2024-03-06,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 198,428,503 VND",198428502.6,995382849.45,branch,Posted,198428502.6,198428502.6,VND
TXN00000009,1,CIF000001,2024-03-07,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 176,427,788 VND",176427788.03,1171810637.48,mobile/internet,Posted,176427788.03,176427788.03,VND
TXN00000010,1,CIF000001,2024-03-09,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 110,174,718 VND",110174718.05,1281985355.54,branch,Posted,110174718.05,110174718.05,VND
TXN00000011,1,CIF000001,2024-03-09,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 81,893,982 VND",81893981.61,1363879337.14,branch,Posted,81893981.61,81893981.61,VND
TXN00000012,1,CIF000001,2024-03-11,Deposit,"Nộp tiền mặt tại quầy 70,944,548 VND",70944547.93,1434823885.07,branch,Posted,70944547.93,70944547.93,VND
TXN00000013,1,CIF000001,2024-03-18,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 45,402,030 VND",45402029.76,1480225914.84,mobile/internet,Declined,45402029.76,45402029.76,VND
TXN00000014,1,CIF000001,2024-03-22,Fee Transaction,"Phí dịch vụ 54,416 VND",54416.43,1480171498.41,mobile/internet,Posted,54416.43,54416.43,VND
TXN00000015,1,CIF000001,2024-03-23,Fund Transfer,"Chuyển khoản nội bộ 31,838,406 VND",31838406.38,1512009904.79,branch,Declined,31838406.38,31838406.38,VND
TXN00000016,1,CIF000001,2024-04-02,Fee Transaction,"Phí cấp lại sổ tiết kiệm 87,470 VND",87470.17,1511922434.62,branch,Posted,87470.17,87470.17,VND
TXN00000017,1,CIF000001,2024-04-07,Deposit,"Chuyển khoản vào tài khoản tiết kiệm 165,289,810 VND",165289809.9,1677212244.52,atm,Posted,165289809.9,165289809.9,VND
TXN00000018,1,CIF000001,2024-04-07,Interest Withdrawal,"Rút lãi tiết kiệm 68,345,670 VND",68345670.47,1608866574.05,branch,Posted,68345670.47,68345670.47,VND
TXN00000019,1,CIF000001,2024-04-08,Deposit,"Gửi tiền tiết kiệm 176,250,402 VND",176250402.23,1785116976.28,mobile/internet,Posted,176250402.23,176250402.23,VND
TXN00000020,1,CIF000001,2024-04-09,Fee Transaction,"Phí sao kê 95,815 USD",95814.98,1785021161.3,mobile/internet,Posted,95814.98,2395374.43,USD
TXN00000021,1,CIF000001,2024-04-11,Interest Withdrawal,"Rút lãi tiết kiệm 7,105,842 EUR",7105842.36,1777915318.94,atm,Posted,7105842.36,213175270.86,EUR
TXN00000022,1,CIF000001,2024-04-14,Fee Transaction,"Phí cấp lại sổ tiết kiệm 95,225 VND",95225.45,1777820093.49,atm,Posted,95225.45,95225.45,VND
TXN00000023,1,CIF000001,2024-04-22,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 9,326,898 VND",9326898.46,1768493195.03,atm,Posted,9326898.46,9326898.46,VND
TXN00000024,1,CIF000001,2024-04-23,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 58,846,368 VND",58846367.83,1709646827.2,branch,Posted,58846367.83,58846367.83,VND
TXN00000025,1,CIF000001,2024-04-23,Fund Transfer,"Chuyển khoản nội bộ 45,482,634 VND",45482633.81,1755129461.01,mobile/internet,Posted,45482633.81,45482633.81,VND
TXN00000026,1,CIF000001,2024-05-08,Interest Withdrawal,"Rút lãi tiết kiệm 16,434,427 VND",16434427.31,1738695033.7,mobile/internet,Posted,16434427.31,16434427.31,VND
TXN00000027,1,CIF000001,2024-05-09,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 1,959,880 VND",1959880.01,1736735153.69,branch,Posted,1959880.01,1959880.01,VND
TXN00000028,1,CIF000001,2024-05-10,Principal Withdrawal,"Tất toán tài khoản tiết kiệm 35,490,117 USD",35490116.96,1701245036.73,branch,Posted,35490116.96,887252924.01,USD
TXN00000029,1,CIF000001,2024-05-13,Fund Transfer,"Chuyển khoản nội bộ 13,568,446 VND",13568446.15,1714813482.87,atm,Posted,13568446.15,13568446.15,VND
TXN00000030,1,CIF000001,2024-05-19,Fund Transfer,"Chuyển tiền từ tài khoản thanh toán 43,872,654 VND",43872653.68,1758686136.55,branch,Declined,43872653.68,43872653.68,VND
TXN00000031,1,CIF000001,2024-05-29,Interest Withdrawal,"Chi trả lãi định kỳ 15,605,168 USD",15605168.13,1743080968.42,mobile/internet,Posted,15605168.13,390129203.17,USD
